1:4,4,8,2,1,9,5,9,8,9,7,6,3,5,1,2,8,5,1,9,6,1,8,3,3,5,2,5,6,6
2:1,9,6,3,1,9,3,9,1,1,8,8,3,9,8,9,4,4,2,3,1,8,2,3,1,3,5,4,3,3
3:1,9,9,5,3,5,4,9,3,8,4,6,3,6,4,1,3,5,6,1,4,1,8,3,3,5,2,5,1,1
4:1,6,8,4,7,3,2,8,2,8,4,5,1,6,6,3,3,5,8,6,9,2,6,5,3,1,7,5,7,6
5:5,2,5,2,5,9,7,7,1,7,8,3,8,1,7,7,3,8,3,4,9,4,8,8,4,8,6,9,6,1
6:2,8,3,2,5,6,3,6,3,3,2,3,2,1,1,6,1,3,1,2,5,2,7,6,3,7,9,2,4,2
7:7,5,3,4,8,7,8,7,7,3,9,5,7,2,3,9,5,9,6,4,3,2,9,2,6,7,7,4,7,1
8:2,9,2,7,6,5,5,6,4,2,5,7,2,3,9,1,5,7,5,9,2,4,7,5,9,6,9,4,5,7
9:7,8,7,7,2,9,8,8,4,3,4,9,8,1,3,5,9,7,1,9,7,4,4,5,7,9,1,1,2,5
10:9,1,2,2,9,7,2,2,4,4,1,6,7,3,7,5,7,7,3,1,8,1,8,1,4,2,2,1,8,4
11:3,6,2,1,5,8,3,4,8,6,6,2,5,8,4,8,1,6,9,7,4,8,6,8,7,2,6,3,2,2
12:7,4,9,3,9,5,8,2,7,1,7,9,6,8,3,9,1,8,6,3,5,7,8,7,9,4,6,8,2,2
13:9,8,9,4,9,2,2,8,5,4,9,4,8,7,5,9,4,1,4,6,1,6,7,7,7,6,3,4,4,6
14:7,8,6,8,6,1,4,5,8,8,6,5,5,9,8,4,8,3,5,2,1,8,6,7,8,3,2,7,8,5
15:1,6,6,6,1,2,6,7,4,7,6,6,9,7,8,9,7,1,4,5,9,8,7,2,6,1,4,6,2,9
16:3,4,1,2,3,8,1,7,3,7,8,1,2,3,2,3,8,6,1,7,9,7,9,1,3,8,4,1,2,5
