48455,47779,1643
93297,2298,1504
93297,94641,864
93297,97285,1787
130119,38798,1696
130119,42937,1888
197741,106607,1695
197741,108736,569
254077,163079,1389
254077,167014,1521
274251,141928,1691
274251,185304,674
274251,186893,1969
362044,230191,1156
400202,267907,1535
400202,269956,791
400202,272156,961
441134,309167,1520
441134,312562,811
471652,277994,1475
471652,341864,980
568624,374937,1611
568624,379403,1924
592315,350507,1708
592315,400994,695
592315,402205,575
664503,278081,1671
707757,321706,1548
707757,323947,608
707757,325507,1008
770000,383897,1212
770000,388328,1111
820049,433667,1500
820049,435962,510
843832,409084,1390
843832,462329,626
929042,494258,1643
929042,496155,739
929042,498151,1517
942818,508129,1679
1022748,588081,1274
1022748,590524,944
1022748,591726,1316
1103810,506116,1617
1103810,672184,1276
1134598,536977,1618
1134598,539136,804
1218480,452574,1422
1218480,625127,1750
1246061,479964,1509
1246061,482142,995
1246061,483284,654
1320808,554914,1011
1336788,570872,1499
1336788,572833,804
1336788,575234,1337
1408999,497975,1636
1408999,645953,641
1426861,515532,1645
1426861,518232,559
1502440,591485,1575
1502440,594953,528
1589468,503475,1673
1589468,680260,573
1589468,681530,688
1680226,594527,1489
1716742,557467,1071
1716742,633248,685
1716742,634380,746
1758233,515749,1549
1758233,602530,941
1784255,489941,1281
1784255,543666,780
1850922,556362,1633
1850922,560036,1103
1935180,640441,1753
1935180,642605,527
1935180,644531,1800
1970349,675997,1335
2056829,588880,1621
2056829,764711,527
2056829,766250,989
2094460,626561,1254
2094460,630307,519
2157164,563099,1653
2157164,691829,951
2196603,523629,1309
2196603,606679,1221
2272438,599530,1543
2272438,602206,675
2272438,603204,1623
2350507,677505,1801
2420087,747185,1307
2420087,748945,975
2420087,750157,506
2471005,695386,1470
2471005,802719,1358
2563907,788632,1207
2563907,791068,572
2585887,810470,1243
2585887,814534,1034
2638741,863387,1586
2638741,865628,694
2638741,867526,769
2695578,805864,1378
2787216,714299,1352
2787216,899923,778
2787216,901749,1058
2834073,667376,1344
2834073,764559,576
2877328,710637,1299
2877328,712848,823
2976226,610799,1856
2976226,812848,607
3060573,695528,1487
3060573,697148,515
3060573,699619,868
3100112,734819,1593
3183187,817767,1870
3183187,820257,500
3183187,821362,764
3221801,778648,1457
3221801,861040,863
3292007,848587,1578
3292007,850726,695
3340336,799342,1444
3340336,900262,1860
3350539,789308,1562
3350539,812117,985
3350539,813033,1977
3366118,804964,1591
3412874,757473,1718
3412874,854256,903
3412874,854780,1813
3486679,683569,1397
3486679,835009,601
3583947,586609,1260
3583947,782874,707
3625024,627284,1744
3625024,631546,1281
3684488,566882,1884
3684488,688685,781
3684488,691502,1386
3758852,492744,1439
3853941,588018,1230
3853941,589663,865
3853941,591174,558
3888005,621660,1689
3888005,626171,1816
3987736,721698,1330
3987736,723594,971
4055070,653498,1476
4055070,792233,961
4102523,605916,1583
4102523,703232,941
4102523,705619,1175
4163845,667718,1080
4210529,620419,1140
4210529,716332,926
4210529,718313,1366
4284629,546006,1669
4284629,698904,689
4350214,480612,1357
4350214,614365,838
4411801,542353,1547
4411801,546324,1677
4503260,450036,1471
4503260,635758,861
4503260,637342,1017
4581803,528855,1431
4636420,583503,1469
4636420,585296,945
4636420,587688,1807
4663209,555886,1549
4663209,614842,1862
4692527,526778,1172
4692527,587523,651
4774815,608903,1696
4774815,612842,986
4795531,587579,1394
4795531,631895,695
4795531,633642,641
