18,1,15
43,1,13
43,49,7
57,1,8
78,1,14
78,36,6
106,1,12
122,14,12
122,39,6
150,35,14
168,8,12
168,72,9
183,1,14
204,16,15
204,50,8
224,1,15
247,1,10
247,44,8
260,8,14
278,28,12
278,54,4
299,5,7
316,19,13
316,52,3
331,37,7
344,45,13
344,79,8
360,27,12
374,36,15
374,59,8
387,52,7
411,76,14
411,107,9
429,53,13
456,25,13
456,109,3
467,14,12
492,37,14
492,57,6
516,60,18
543,89,17
543,124,4
571,57,11
583,45,8
583,84,6
598,62,10
622,86,11
622,106,6
642,100,17
654,82,14
654,130,5
683,54,8
695,62,17
695,97,7
723,94,9
743,66,12
743,134,7
756,84,9
777,101,13
777,121,6
794,116,17
820,85,10
820,170,4
840,66,12
857,78,14
857,103,8
867,94,10
894,59,14
894,149,5
912,76,12
931,101,6
931,124,4
958,70,14
984,46,10
984,117,6
995,51,15
1019,76,10
1019,100,6
1043,101,16
1072,68,9
1072,156,5
1091,51,7
1119,75,10
1119,108,5
1144,44,10
1166,63,12
1166,90,3
1185,86,8
1208,109,8
1208,124,5
1226,89,9
1252,58,17
1252,144,9
1269,42,14
1281,55,15
1281,85,4
1293,38,14
1308,52,9
1308,71,3
1332,1,111
